Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Duration,Test Type
Account Manager Solution,/solutions/products/product-catalog/view/account-manager-solution/,Yes,Yes,49,"Competencies, Personality & Behavior, Ability & Aptitude, Biodata & Situational Judgement"
Administrative Professional - Short Form,/solutions/products/product-catalog/view/administrative-professional-short-form/,Yes,Yes,,"Ability & Aptitude, Knowledge & Skills, Personality & Behavior"
Agency Manager Solution,/solutions/products/product-catalog/view/agency-manager-solution/,Yes,Yes,51,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Apprentice + 8.0 Job Focused Assessment,/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Yes,No,30,"Biodata & Situational Judgement, Personality & Behavior"
Apprentice 8.0 Job Focused Assessment,/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Yes,No,20,"Biodata & Situational Judgement, Personality & Behavior"
Bank Administrative Assistant - Short Form,/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Yes,No,,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior"
Bank Collections Agent - Short Form,/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Yes,No,45,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Bank Operations Supervisor - Short Form,/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Yes,Yes,,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Bilingual Spanish Reservation Agent Solution,/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Yes,Yes,43,"Biodata & Situational Judgement, Personality & Behavior, Simulations, Ability & Aptitude"
"Bookkeeping, Accounting, Auditing Clerk Short Form",/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Yes,Yes,49,"Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude"
Branch Manager - Short Form,/solutions/products/product-catalog/view/branch-manager-short-form/,Yes,No,50,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Cashier Solution,/solutions/products/product-catalog/view/cashier-solution/,Yes,Yes,28,"Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior"
Global Skills Development Report,/solutions/products/product-catalog/view/global-skills-development-report/,Yes,No,,"Ability & Aptitude, Assessment Exercises, Biodata & Situational Judgement, Competencies, Development & 360, Personality & Behavior"
.NET Framework 4.5,/solutions/products/product-catalog/view/net-framework-4-5/,Yes,Yes,30,Knowledge & Skills
.NET MVC (New),/solutions/products/product-catalog/view/net-mvc-new/,Yes,No,17,Knowledge & Skills
.NET MVVM (New),/solutions/products/product-catalog/view/net-mvvm-new/,Yes,No,5,Knowledge & Skills
.NET WCF (New),/solutions/products/product-catalog/view/net-wcf-new/,Yes,No,,Knowledge & Skills
.NET WPF (New),/solutions/products/product-catalog/view/net-wpf-new/,Yes,No,9,Knowledge & Skills
.NET XAML (New),/solutions/products/product-catalog/view/net-xaml-new/,Yes,No,5,Knowledge & Skills
Accounts Payable (New),/solutions/products/product-catalog/view/accounts-payable-new/,Yes,No,9,Knowledge & Skills
Accounts Payable Simulation (New),/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,8,Simulations
Accounts Receivable (New),/solutions/products/product-catalog/view/accounts-receivable-new/,Yes,No,13,Knowledge & Skills
Accounts Receivable Simulation (New),/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,8,Simulations
ADO.NET (New),/solutions/products/product-catalog/view/ado-net-new/,Yes,No,10,Knowledge & Skills
Adobe Experience Manager (New),/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,17,Knowledge & Skills
Adobe Photoshop CC,/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,20,Knowledge & Skills
Aeronautical Engineering (New),/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,10,Knowledge & Skills
Aerospace Engineering (New),/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,No,10,Knowledge & Skills
Agile Software Development,/solutions/products/product-catalog/view/agile-software-development/,Yes,No,7,Knowledge & Skills
